Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	obo:IAO_0100001	obo:IAO_0000115		
ERROR	duplicate_definition	obo:IAO_0000603	obo:IAO_0000115		
ERROR	duplicate_definition	obo:OBI_0000299	obo:IAO_0000115		
ERROR	duplicate_definition	obo:OBI_0000312	obo:IAO_0000115		
ERROR	multiple_definitions	obo:IAO_0100001	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000004	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000015	obo:IAO_0000115		
ERROR	multiple_definitions	obo:IAO_0000603	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000020	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000031	obo:IAO_0000115		
ERROR	missing_label	dc11:title	rdfs:label		
ERROR	missing_label	dc11:language	rdfs:label		
ERROR	missing_label	foaf:page	rdfs:label		
ERROR	missing_label	dc11:relation	rdfs:label		
ERROR	missing_label	oboInOwl:hasDefinition	rdfs:label		
ERROR	missing_label	obo:obi.owl	rdfs:label		
ERROR	missing_label	dc11:license	rdfs:label		
ERROR	missing_label	dc11:subject	rdfs:label		
ERROR	missing_label	oboInOwl:ObsoleteProperty	rdfs:label		
ERROR	missing_label	dc11:identifier	rdfs:label		
ERROR	missing_label	oboInOwl:Definition	rdfs:label		
ERROR	missing_label	oboInOwl:inSubset	rdfs:label		
ERROR	missing_label	oboInOwl:hasOBONamespace	rdfs:label		
ERROR	missing_label	http://example.com/bfo-spec-label	rdfs:label		
ERROR	missing_label	oboInOwl:Synonym	rdfs:label		
ERROR	missing_label	obo:BFO_0000134	rdfs:label		
ERROR	missing_label	oboInOwl:SynonymType	rdfs:label		
ERROR	missing_label	http://protege.stanford.edu/plugins/owl/protege#defaultLanguage	rdfs:label		
ERROR	missing_label	dc11:date	rdfs:label		
ERROR	missing_label	dc11:publisher	rdfs:label		
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	missing_label	oboInOwl:DbXref	rdfs:label		
ERROR	missing_label	dc11:description	rdfs:label		
ERROR	missing_label	dc11:member	rdfs:label		
ERROR	missing_label	dc11:rights	rdfs:label		
ERROR	missing_label	dc11:format	rdfs:label		
ERROR	missing_label	dc11:type	rdfs:label		
ERROR	missing_label	dc11:coverage	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/d-acts.owl	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/pno.owl	rdfs:label		
ERROR	missing_label	dc11:creator	rdfs:label		
ERROR	missing_label	obo:iao.owl	rdfs:label		
ERROR	missing_label	oboInOwl:is_inferred	rdfs:label		
ERROR	missing_label	dc11:contributor	rdfs:label		
ERROR	missing_label	dc11:source	rdfs:label		
ERROR	missing_label	foaf:homepage	rdfs:label		
ERROR	misused_obsolete_label	oboInOwl:ObsoleteClass	rdfs:label		
ERROR	multiple_labels	obo:RO_0000057	rdfs:label		
ERROR	multiple_labels	obo:OBI_0000312	rdfs:label		
ERROR	multiple_labels	obo:IAO_0000115	rdfs:label		
ERROR	multiple_labels	obo:IAO_0000111	rdfs:label		
ERROR	multiple_labels	obo:RO_0000053	rdfs:label		
WARN	annotation_whitespace	obo:BFO_0000019	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000015	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000016	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000038	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000017	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000018	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000592	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000011	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000034	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000579	obo:IAO_0000112		
WARN	annotation_whitespace	obo:IAO_0020001	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0020023	obo:IAO_0000112		
WARN	annotation_whitespace	obo:OMRSE_00000022	rdfs:comment		
WARN	annotation_whitespace	obo:BFO_0000035	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000115	obo:IAO_0000116		
WARN	annotation_whitespace	obo:IAO_0000575	obo:IAO_0000112		
WARN	annotation_whitespace	obo:BFO_0000031	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0020002	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000595	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000008	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0020008	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000009	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000617	obo:IAO_0000112		
WARN	annotation_whitespace	obo:BFO_0000026	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000004	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000147	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000615	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000027	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000027	obo:IAO_0000116		
WARN	annotation_whitespace	obo:BFO_0000148	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000006	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000028	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000029	obo:IAO_0000602		
WARN	annotation_whitespace	obo:IAO_0000065	obo:IAO_0000115		
WARN	annotation_whitespace	obo:IAO_0000580	obo:IAO_0000112		
WARN	annotation_whitespace	obo:IAO_0020011	obo:IAO_0000115		
WARN	annotation_whitespace	obo:BFO_0000144	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000023	obo:IAO_0000602		
WARN	annotation_whitespace	obo:OMRSE_00000033	rdfs:comment		
WARN	annotation_whitespace	obo:BFO_0000024	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000002	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000145	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000003	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000146	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000040	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000140	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000020	obo:IAO_0000602		
WARN	annotation_whitespace	obo:BFO_0000142	obo:IAO_0000602		
WARN	duplicate_exact_synonym	obo:IAO_0000609	obo:IAO_0000118		
WARN	duplicate_exact_synonym	obo:IAO_0000615	obo:IAO_0000118		
WARN	duplicate_label_synonym	obo:RO_0000053	obo:IAO_0000118		
WARN	missing_obsolete_label	obo:IAO_0000230	rdfs:label		
INFO	lowercase_definition	obo:BFO_0000015	obo:IAO_0000115		
INFO	lowercase_definition	obo:OBI_0000066	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000427	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001000	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001001	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000031	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000592	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000032	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000050	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000314	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0021012	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0021011	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020004	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000051	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020005	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000595	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000034	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000004	obo:IAO_0000115		
INFO	lowercase_definition	obo:OBI_0000471	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000119	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002000	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002002	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001901	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000057	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001025	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000326	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000007	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000005	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001902	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000321	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000443	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000322	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000088	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000121	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000001	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020018	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000604	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000091	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000052	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000056	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002350	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000053	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002351	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0001015	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000413	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000035	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000576	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000411	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000136	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000574	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000013	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000135	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000572	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000055	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000031	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000419	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000081	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000417	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000219	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000418	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000080	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000085	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000087	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000086	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000581	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0002218	obo:IAO_0000115		
INFO	lowercase_definition	obo:RO_0000079	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020011	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000066	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000144	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020012	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000067	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000145	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000301	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000027	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000024	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000102	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000140	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020013	obo:IAO_0000115		
INFO	lowercase_definition	obo:BFO_0000020	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000583	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0000221	obo:IAO_0000115		
INFO	lowercase_definition	obo:IAO_0020014	obo:IAO_0000115		
